decile,n_loans,avg_predicted_pd,actual_chargeoff_rate
1,1149,0.2036629601417552,0.24194952132288947
2,1148,0.1391007478354622,0.15418118466898956
3,1148,0.11673626208612951,0.13588850174216027
4,1149,0.10209664963975058,0.12184508268059181
5,1148,0.09038028954467305,0.10540069686411149
6,1148,0.0801234585091836,0.09494773519163763
7,1149,0.0704497808373483,0.09051348999129678
8,1148,0.06084270928234439,0.059233449477351915
9,1148,0.05038110624383604,0.06533101045296168
10,1149,0.035703396966223225,0.028720626631853787
