feature,psi,train_missing_rate,test_missing_rate
loan_amnt,0.4251275537337836,0.0,0.0
purpose,0.19533713274615216,0.0,0.0
verification_status,0.15650030021928824,0.0,0.0
emp_length_years,0.050324125525664946,0.017606998505066165,0.04005572971090213
home_ownership,0.047579508596834706,0.0,0.0
dti,0.03345967898329664,0.0,0.0
credit_history_years,0.01932228382184785,0.0,0.0
revol_bal,0.017913320922369847,0.0,0.0
inq_last_6mths,0.017369917856614438,0.0,0.0
revolving_utilization,0.010909460888815153,0.0022700847129173357,0.0005224660397074191
total_acc,0.0032653132713322056,0.0,0.0
log_annual_income,0.002414716925649765,0.0,0.0
open_acc,0.0018943873522386516,0.0,0.0
delinq_2yrs,0.0008952755792042807,0.0,0.0
term_months,0.0,0.0,0.0
pub_rec,0.0,0.0,0.0
