feature,coefficient,direction
categorical__purpose_small_business,0.641335611327429,increases_risk
categorical__purpose_credit_card,-0.5944090837480909,decreases_risk
categorical__purpose_wedding,-0.5173236847192236,decreases_risk
categorical__verification_status_Source Verified,-0.45668018487727585,decreases_risk
categorical__purpose_car,-0.4431245901430851,decreases_risk
categorical__home_ownership_MORTGAGE,-0.3634805931319634,decreases_risk
numeric__log_annual_income,-0.3491947933564886,decreases_risk
categorical__home_ownership_OWN,-0.34156135960407197,decreases_risk
categorical__verification_status_Not Verified,-0.33856757274130606,decreases_risk
categorical__verification_status_Verified,-0.3219236327481795,decreases_risk
categorical__home_ownership_RENT,-0.2959776167200245,decreases_risk
categorical__purpose_renewable_energy,0.2932555247161567,increases_risk
categorical__purpose_debt_consolidation,-0.2900506109042116,decreases_risk
numeric__revolving_utilization,0.28429501744011537,increases_risk
numeric__term_months,0.2555544906507978,increases_risk
categorical__purpose_major_purchase,-0.2474945635212938,decreases_risk
categorical__purpose_moving,-0.24447768354463173,decreases_risk
numeric__inq_last_6mths,0.2423095728899518,increases_risk
categorical__purpose_vacation,0.219246876781585,increases_risk
categorical__home_ownership_NONE,-0.215607958333507,decreases_risk
categorical__purpose_home_improvement,-0.19173500964842105,decreases_risk
numeric__loan_amnt,0.16694968366616264,increases_risk
categorical__purpose_house,0.1559508389957841,increases_risk
categorical__purpose_educational,0.1452586900927173,increases_risk
numeric__pub_rec,0.13320861976889975,increases_risk
categorical__home_ownership_OTHER,0.09945613741740336,increases_risk
numeric__revol_bal,0.08950144774598345,increases_risk
numeric__open_acc,0.07413600336395273,increases_risk
numeric__delinq_2yrs,0.05527783749579422,increases_risk
numeric__total_acc,-0.04020944463703742,decreases_risk
