addr_state,n,default_rate,pr_auc,default_prevalence,pr_auc_lift,roc_auc,gini,ks_statistic,f1,recall,precision,balanced_accuracy,brier_score,review_rate
CA,2102,0.17411988582302568,0.3209782531355542,0.17411988582302568,1.8434324811227734,0.6813949535393216,0.3627899070786431,0.2796171086097052,0.37732342007434944,0.5546448087431693,0.2859154929577465,0.6312970587494648,0.1364336987152806,0.33777354900095147
NY,1063,0.16086547507055504,0.30263256372442726,0.16086547507055504,1.881277282099802,0.6870492749062492,0.37409854981249846,0.3011958146487294,0.3542234332425068,0.38011695906432746,0.33163265306122447,0.6166279862586211,0.13032294017638665,0.18438381937911572
FL,875,0.17714285714285713,0.32196425136689016,0.17714285714285713,1.8175401286840576,0.6935035842293906,0.38700716845878125,0.3026881720430107,0.38126009693053314,0.7612903225806451,0.2543103448275862,0.6403673835125447,0.1357552111532033,0.5302857142857142
TX,807,0.13878562577447337,0.3434274591862079,0.13878562577447337,2.4745174961006224,0.7409301130524152,0.48186022610483037,0.42452466598150057,0.37446808510638296,0.39285714285714285,0.35772357723577236,0.6395940390544707,0.11168741809012048,0.1524163568773234
NJ,508,0.16929133858267717,0.3875169750881605,0.16929133858267717,2.2890537598230876,0.728838311473603,0.457676622947206,0.38272897608288325,0.4235294117647059,0.627906976744186,0.31952662721893493,0.6776975642014769,0.12845921042807465,0.33267716535433073
IL,462,0.170995670995671,0.33168334644385666,0.170995670995671,1.9397177981906553,0.6953101761575834,0.3906203523151668,0.31222527018541163,0.36363636363636365,0.45569620253164556,0.3025210084033613,0.6194930098820108,0.13512677855114852,0.25757575757575757
PA,393,0.1475826972010178,0.29069959525051525,0.1475826972010178,1.9697403609215949,0.7130211013896037,0.42604220277920746,0.4017498713329902,0.3816793893129771,0.43103448275862066,0.3424657534246575,0.6438754503345342,0.12049506271432153,0.18575063613231552
GA,386,0.15803108808290156,0.2716271739452036,0.15803108808290156,1.7188211334893209,0.7088020176544767,0.4176040353089534,0.37760403530895337,0.37719298245614036,0.7049180327868853,0.25748502994011974,0.6616897856242119,0.1257092941586619,0.4326424870466321
VA,358,0.19553072625698323,0.4153362429452667,0.19553072625698323,2.1241482139200785,0.7425595238095237,0.48511904761904745,0.4033730158730159,0.46258503401360546,0.4857142857142857,0.44155844155844154,0.6682043650793651,0.15115170466300654,0.21508379888268156
OH,347,0.1729106628242075,0.3920442153142073,0.1729106628242075,2.2673223785671657,0.7175958188153311,0.43519163763066215,0.40987224157955865,0.3925233644859813,0.35,0.44680851063829785,0.6297038327526132,0.1386777604304208,0.13544668587896252
NC,346,0.17052023121387283,0.325247181774147,0.17052023121387283,1.9073817778619468,0.6986948561979567,0.39738971239591336,0.326699344475285,0.3645833333333333,0.5932203389830508,0.2631578947368421,0.6258784621744522,0.13259650867134132,0.38439306358381503
MA,309,0.13592233009708737,0.2668300738999832,0.13592233009708737,1.963106972264162,0.6718387729623685,0.343677545924737,0.3298555377207063,0.21052631578947367,0.19047619047619047,0.23529411764705882,0.5465489566613162,0.11547375297189828,0.11003236245954692
MD,278,0.22302158273381295,0.4223318456699606,0.22302158273381295,1.893681501552404,0.7067652329749105,0.4135304659498209,0.3393070489844684,0.42962962962962964,0.46774193548387094,0.3972602739726027,0.6320191158900836,0.17001231823457094,0.26258992805755393
WA,266,0.18045112781954886,0.3809756302559533,0.18045112781954886,2.1112399510017417,0.693138379204893,0.3862767584097859,0.3065749235474006,0.3888888888888889,0.5833333333333334,0.2916666666666667,0.6357033639143731,0.1389487947733035,0.3609022556390977
AZ,251,0.18326693227091634,0.24980803307301003,0.18326693227091634,1.3630829630722938,0.6570519618239661,0.31410392364793216,0.303711558854719,0.3586206896551724,0.5652173913043478,0.26262626262626265,0.604559915164369,0.14778530101616114,0.3944223107569721
CT,225,0.16,0.2781743566066327,0.16,1.7385897287914542,0.7194297472075251,0.4388594944150501,0.3941798941798942,0.375,0.5,0.3,0.6388888888888888,0.1290944422295475,0.26666666666666666
MO,218,0.1651376146788991,0.3165410271530956,0.1651376146788991,1.91683177553819,0.6649877899877901,0.32997557997558014,0.31410256410256415,0.3883495145631068,0.5555555555555556,0.29850746268656714,0.6486568986568987,0.13216321172593867,0.3073394495412844
