address_state,n,default_rate,pr_auc,roc_auc,f1,recall,precision,balanced_accuracy,brier_score
CA,1000,0.167,0.28825215763125545,0.7011307517018784,0.3856655290102389,0.6766467065868264,0.26968973747016706,0.654649883905658,0.13098939452548142
NY,511,0.14090019569471623,0.32812705810474024,0.7264932928372565,0.39344262295081966,0.6666666666666666,0.27906976744186046,0.6921032649962034,0.11069830889676437
FL,440,0.16818181818181818,0.3571309451338966,0.6841677743317087,0.36875,0.7972972972972973,0.23983739837398374,0.6431841677743317,0.12935775121178616
TX,388,0.1134020618556701,0.22195687680907172,0.700977801268499,0.3096774193548387,0.5454545454545454,0.21621621621621623,0.6462737843551797,0.09619905506786308
NJ,264,0.14772727272727273,0.2615432737490391,0.6819373219373219,0.3310344827586207,0.6153846153846154,0.22641509433962265,0.6254700854700854,0.12057786993238585
PA,221,0.13574660633484162,0.3522545051984702,0.7034904013961605,0.35555555555555557,0.5333333333333333,0.26666666666666666,0.6514834205933682,0.10773740475906228
GA,203,0.1330049261083744,0.23004837155508445,0.6792929292929293,0.2972972972972973,0.8148148148148148,0.18181818181818182,0.6261574074074074,0.11514633748501751
IL,202,0.12376237623762376,0.2675070847916468,0.703502824858757,0.3076923076923077,0.56,0.21212121212121213,0.6331073446327684,0.10247887872139962
VA,194,0.18041237113402062,0.39157658531209266,0.7311769991015274,0.42857142857142855,0.5142857142857142,0.3673469387755102,0.6596585804132974,0.13845144036877718
OH,190,0.1,0.3501219802269244,0.7316097260695599,0.3283582089552239,0.5789473684210527,0.22916666666666666,0.6812865497076024,0.08169267038071583
MA,187,0.0748663101604278,0.4313807178794179,0.8051197357555739,0.24324324324324326,0.6428571428571429,0.15,0.6740297274979357,0.061854228380117275
MD,144,0.1597222222222222,0.3209569384442413,0.6715774344232842,0.367816091954023,0.6956521739130435,0.25,0.6494789795185052,0.12616086269850266
CO,126,0.1111111111111111,0.3055357765380246,0.6996173469387755,0.32,0.5714285714285714,0.2222222222222222,0.6607142857142857,0.09086260085042962
WA,115,0.17391304347826086,0.2607617047854477,0.6531578947368422,0.37037037037037035,0.5,0.29411764705882354,0.6236842105263158,0.1410727583553804
MO,106,0.16037735849056603,0.4049864298223361,0.7772637144745538,0.45901639344262296,0.8235294117647058,0.3181818181818182,0.7432253800396562,0.11976983109078097
AZ,103,0.14563106796116504,0.3232702289103949,0.675,0.32142857142857145,0.6,0.21951219512195122,0.6181818181818182,0.11642398587290323
CT,102,0.1568627450980392,0.32960885588564,0.7420058139534884,0.44,0.6875,0.3235294117647059,0.7100290697674418,0.12246550901948952
NC,101,0.15841584158415842,0.23329153573092512,0.6316176470588235,0.3728813559322034,0.6875,0.2558139534883721,0.6555147058823529,0.13596876166609262
MN,100,0.16,0.3420713301095655,0.659970238095238,0.37037037037037035,0.625,0.2631578947368421,0.6458333333333333,0.12690542247632922
MI,98,0.17346938775510204,0.343273850596601,0.6339869281045752,0.2978723404255319,0.4117647058823529,0.23333333333333334,0.5639070442992011,0.13881203800969186
SC,71,0.16901408450704225,0.3468235468235468,0.7768361581920904,0.47368421052631576,0.75,0.34615384615384615,0.7309322033898304,0.12928899713347264
OR,68,0.11764705882352941,0.2969211497131579,0.7083333333333334,0.3111111111111111,0.875,0.1891891891891892,0.6875,0.09925285464424592
AL,65,0.06153846153846154,0.19919590643274854,0.8114754098360656,0.2,0.5,0.125,0.6352459016393442,0.05785484357208714
LA,65,0.12307692307692308,0.2951914416542272,0.6447368421052632,0.3125,0.625,0.20833333333333334,0.6458333333333333,0.1036204097171233
NV,62,0.24193548387096775,0.43582321817615927,0.6723404255319149,0.4,0.8,0.26666666666666666,0.548936170212766,0.16840591753439244
WI,60,0.11666666666666667,0.2417166866746699,0.6738544474393531,0.25,0.42857142857142855,0.17647058823529413,0.582210242587601,0.09980823138492063
KY,48,0.08333333333333333,0.7875,0.9602272727272727,0.38095238095238093,1.0,0.23529411764705882,0.8522727272727273,0.057624385399056975
OK,44,0.045454545454545456,0.16847826086956522,0.7142857142857143,0.1,0.5,0.05555555555555555,0.5476190476190477,0.05545587649711159
UT,37,0.10810810810810811,0.5133928571428572,0.7424242424242423,0.2857142857142857,0.75,0.17647058823529413,0.6628787878787878,0.08710679466902667
AR,35,0.11428571428571428,0.6268115942028986,0.7983870967741935,0.42857142857142855,0.75,0.3,0.7620967741935484,0.08364751733331237
KS,34,0.029411764705882353,0.14285714285714285,0.8181818181818181,0.16666666666666666,1.0,0.09090909090909091,0.8484848484848485,0.04152019853835222
DC,32,0.09375,0.7142857142857143,0.7931034482758621,0.8,0.6666666666666666,1.0,0.8333333333333333,0.06767474190862877
NM,30,0.2,0.5645854145854146,0.8472222222222221,0.5217391304347826,1.0,0.35294117647058826,0.7708333333333333,0.14062056081460836
