segment,n_loans,actual_defaults,actual_chargeoff_rate,avg_predicted_pd,pr_auc,roc_auc,brier_score
car,437,38,0.08695652173913043,0.06525754977162887,0.16780587086727686,0.7034691993140747,0.07742693538751744
credit_card,1714,132,0.07701283547257877,0.07430083321251345,0.10538348826370278,0.5771702486304255,0.07080027753318842
debt_consolidation,5316,603,0.113431151241535,0.09669971070298367,0.18814645493384777,0.6448255926675415,0.09814354373745567
home_improvement,879,80,0.09101251422070535,0.08113535039892933,0.15894068281909465,0.6799436795994993,0.0807616131322669
house,94,6,0.06382978723404255,0.12643213218851768,0.08931277056277057,0.5511363636363635,0.06564795006673795
major_purchase,611,44,0.07201309328968904,0.07605422855437836,0.17721424196722102,0.6229357062690396,0.06492925202777936
medical,228,30,0.13157894736842105,0.1060010151378032,0.2762002447962186,0.7255892255892256,0.10864415623878412
moving,225,43,0.19111111111111112,0.09011454365558386,0.30526535254629583,0.6572961921799131,0.15989422438687964
other,1094,157,0.14351005484460694,0.11315983444019584,0.2636196734218267,0.6625563357782326,0.11853103899123983
renewable_energy,38,6,0.15789473684210525,0.14313524596695795,0.25822230601642365,0.609375,0.1304216253340112
small_business,396,75,0.1893939393939394,0.19261374138296972,0.2721534634932863,0.6406230529595015,0.14914775698688398
vacation,158,18,0.11392405063291139,0.1334482883881824,0.2007390497429149,0.6896825396825397,0.09896842919231706
wedding,294,29,0.09863945578231292,0.06726354971862233,0.1861537661184585,0.6533506831489917,0.08785528946355316
