cohort_month,total_loans,mature_loans,censored_loans,fully_paid,charged_off,current,censoring_rate
2007-06,1,1,0,1,0,0,0.0
2007-07,30,30,0,30,0,0,0.0
2007-08,33,33,0,26,7,0,0.0
2007-09,18,18,0,15,3,0,0.0
2007-10,47,47,0,37,10,0,0.0
2007-11,37,37,0,30,7,0,0.0
2007-12,85,85,0,67,18,0,0.0
2008-01,171,171,0,140,31,0,0.0
2008-02,174,174,0,149,25,0,0.0
2008-03,236,236,0,196,40,0,0.0
2008-04,155,155,0,128,27,0,0.0
2008-05,71,71,0,61,10,0,0.0
2008-06,66,66,0,59,7,0,0.0
2008-07,83,83,0,66,17,0,0.0
2008-08,71,71,0,65,6,0,0.0
2008-09,32,32,0,27,5,0,0.0
2008-10,96,96,0,81,15,0,0.0
2008-11,184,184,0,153,31,0,0.0
2008-12,223,223,0,190,33,0,0.0
2009-01,239,239,0,211,28,0,0.0
2009-02,260,260,0,226,34,0,0.0
2009-03,276,276,0,245,31,0,0.0
2009-04,290,290,0,250,40,0,0.0
2009-05,319,319,0,277,42,0,0.0
2009-06,356,356,0,313,43,0,0.0
2009-07,374,374,0,327,47,0,0.0
2009-08,408,408,0,368,40,0,0.0
2009-09,449,449,0,392,57,0,0.0
2009-10,545,545,0,458,87,0,0.0
2009-11,602,602,0,519,83,0,0.0
2009-12,598,598,0,536,62,0,0.0
2010-01,589,589,0,513,76,0,0.0
2010-02,627,627,0,564,63,0,0.0
2010-03,737,737,0,668,69,0,0.0
2010-04,827,827,0,745,82,0,0.0
2010-05,920,920,0,795,125,0,0.0
2010-06,1029,1029,0,863,166,0,0.0
2010-07,1119,1119,0,982,137,0,0.0
2010-08,1078,1078,0,930,148,0,0.0
2010-09,1086,1086,0,911,175,0,0.0
2010-10,1132,1132,0,972,160,0,0.0
2010-11,1121,1121,0,979,142,0,0.0
2010-12,1267,1267,0,1125,142,0,0.0
2011-01,1380,1380,0,1194,186,0,0.0
2011-02,1297,831,466,1129,168,0,0.3592906707787201
2011-03,1443,837,606,1235,207,1,0.41995841995842
2011-04,1562,947,615,1338,221,3,0.39372599231754163
2011-05,1689,957,732,1320,289,80,0.433392539964476
2011-06,1827,1259,568,1461,267,99,0.31089217296113847
2011-07,1870,1288,582,1467,278,125,0.31122994652406416
2011-08,1928,1295,633,1531,267,130,0.3283195020746888
2011-09,2063,1368,695,1606,307,150,0.33688802714493454
2011-10,2114,1411,703,1633,308,173,0.3325449385052034
2011-11,2223,1544,679,1727,335,161,0.3054430949167791
2011-12,2260,1415,845,1619,423,218,0.37389380530973454
