total_loans,Fully Paid,Charged Off,Current,exclusion_rate
1,1,0,0,0.0
30,30,0,0,0.0
33,26,7,0,0.0
18,15,3,0,0.0
47,37,10,0,0.0
37,30,7,0,0.0
85,67,18,0,0.0
171,140,31,0,0.0
174,149,25,0,0.0
236,196,40,0,0.0
155,128,27,0,0.0
71,61,10,0,0.0
66,59,7,0,0.0
83,66,17,0,0.0
71,65,6,0,0.0
32,27,5,0,0.0
96,81,15,0,0.0
184,153,31,0,0.0
223,190,33,0,0.0
239,211,28,0,0.0
260,226,34,0,0.0
276,245,31,0,0.0
290,250,40,0,0.0
319,277,42,0,0.0
356,313,43,0,0.0
374,327,47,0,0.0
408,368,40,0,0.0
449,392,57,0,0.0
545,458,87,0,0.0
602,519,83,0,0.0
598,536,62,0,0.0
589,513,76,0,0.0
627,564,63,0,0.0
737,668,69,0,0.0
827,745,82,0,0.0
920,795,125,0,0.0
1029,863,166,0,0.0
1119,982,137,0,0.0
1078,930,148,0,0.0
1086,911,175,0,0.0
1132,972,160,0,0.0
1121,979,142,0,0.0
1267,1125,142,0,0.0
1380,1194,186,0,0.0
1297,1129,168,0,0.0
1443,1235,207,1,0.000693000693000693
1562,1338,221,3,0.0019206145966709346
1689,1320,289,80,0.047365304914150384
1827,1461,267,99,0.054187192118226604
1870,1467,278,125,0.06684491978609626
1928,1531,267,130,0.06742738589211618
2063,1606,307,150,0.07270964614638875
2114,1633,308,173,0.08183538315988648
2223,1727,335,161,0.0724246513720198
2260,1619,423,218,0.09646017699115045
